,name,province,postalCode,categories,primaryCategories,Compound Sentiment,reviews.summary,reviews.total,popular.keywords,average.rating
308,Best Western Northwest Inn,TX,75220,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.7254111111111111,"Your input, and the feedback from all of our guests is vitally important to us and we always want guest expectations to be met upon arrival. We hope to see you again in the future and you can reach us directly at (214) 353-8774 if I can be of any assistance.  ",9,"[('review', 9.0), ('214', 7.0), ('3538774', 7.0), ('arrival', 7.0), ('assistance', 7.0)]",3.33
309,Best Western Of Alexandria Inn & Suites & Conference Center,LA,71303,"Hotel & Motel,  Hotel",Accommodation & Food Services,-0.7741,"I had to walk to the desk each time I left the room to get my key scanned to work again. The internet was not secure, so we did not use it.",1,"[('aggravating', 1.0), ('beds', 1.0), ('desk', 1.0), ('horrible', 1.0), ('internet', 1.0)]",3.0
310,Best Western Of Hope,AR,71801,"Lodging,  Motel,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.9664,I find Best Westerns the best value for the price and always use them if available for both business and personal travel. I have never had a bad experience in any Best Western in 23 years and a business traveler.,1,"[('business', 2.0), ('23', 1.0), ('bad', 1.0), ('experience', 1.0), ('hotel', 1.0)]",5.0
311,Best Western Of Walterboro,SC,29488,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.6744833333333333,"Steps away from Ruby Tuesdays where you can order take out meals on-line form your room. An unusually good breakfast, including fresh fruit and nice selection of pastries.",12,"[('clean', 10.0), ('comfortable', 7.0), ('breakfast', 6.0), ('internet', 6.0), ('stay', 5.0)]",3.67
312,Best Western Of Whitmore Lake,MI,48189,"Corporate Housing,  Lodging,  Hotel & Motel,  Event Planning,  Hotel",Accommodation & Food Services,0.92725,Very clean and helpful staff great breakfast - it may look old outside but surprised me nice on inside and the price was right and just a short trip to the race track would stay again and so quiet even thought close to interstate I would definitely recommend this Best Western to family and friends.,2,"[('breakfast', 1.0), ('checkout', 1.0), ('clean', 1.0), ('close', 1.0), ('experience', 1.0)]",4.0
313,Best Western Old Colony Inn,VA,22314,Hotel,Accommodation & Food Services,0.8347333333333333,"The reception staff were extremely helpful, the rooms were spacious with very comfortable beds, the breakfast was more than the advertised continental breakfast.   Great Best Western with great staff and nice breakfast spread and fitness room and plenty of parking.",3,"[('breakfast', 4.0), ('alexandria', 2.0), ('nice', 2.0), ('night', 2.0), ('parking', 2.0)]",4.67
314,Best Western Old Mill Inn,NE,68154,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.7418750000000001,The hot tub was lukewarm the entire time we were there and there was THICK ring of mold around the top of the hot tub.   When checking room before we left and found a pizza box in refrigerator that we did not put in there.,4,"[('clean', 3.0), ('hot', 2.0), ('nice', 2.0), ('tub', 2.0), ('box', 1.0)]",3.25
315,Best Western Orange Plaza,CA,92868,"Accommodations & Lodging,  Hotel Representatives,  Lodging,  Hotel & Motel,  Accommodation Reservations,  Hotel & Motel Reservations,  Hotel",Accommodation & Food Services,0.8920333333333333,"the room was better than expected, we had the room with 3 beds which has the 3rd bed in it's own little room which my Daughter and her friend loved. It's not in the most picturesque location, but everything else about it is great.",3,"[('beds', 3.0), ('staff', 3.0), ('stay', 3.0), ('comfortable', 2.0), ('daughter', 2.0)]",3.67
316,Best Western Orchard Inn,CA,95482,"Lodging,  Hotel",Accommodation & Food Services,0.68166,"This Inn is perfect location with amenities that give the comfort I desire. Push one button, then 2 minutes later out pops a fresh hot pancake.  ",5,"[('breakfast', 6.0), ('hot', 3.0), ('busy', 2.0), ('choices', 2.0), ('guest', 2.0)]",4.8
317,Best Western Orlando Convention Center Hotel,FL,32821,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.8484694444444445,"The hotel is in a great location and does offer great value for money including free parking , in room wifi and an ATM.We are so glad you have enjoyed two visits with us at the Best Western Plus Orlando Convention Center. The breakfast is included free and it does provide you with an adequate start to the day if you require a big vried breakfast there are severl restaurants offering all you can get buffets close by.",36,"[('hotel', 39.0), ('breakfast', 36.52415412898681), ('staff', 22.5597507428945), ('stay', 21.0), ('time', 16.0)]",4.0
318,Best Western Orlando East Inn & Suites,FL,32817,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.8057882352941176,After learning of why we were staying she offered to upgrade our room with the understanding it wouldn't be ready for a couple more hours - no worries since we were going to celebrate with friends at a local restaurant.  We walked in on a Friday night to book a room after selling our home in Orlando and needing a place to stay for one night before moving on to our new city state.,68,"[('stay', 102.80504845354955), ('staff', 64.62124039416273), ('hotel', 61.20541796745795), ('breakfast', 52.565056383196506), ('clean', 49.0)]",3.75
319,Best Western Orlando Gateway Hotel,FL,32819,"Corporate Housing,  Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.81346875,"It was spacious and clean, and the location to Universal...MoreDear Laura R. Thank you for your recent visit to our hotel and I appreciate you taking the time to review our hotel on tripadvisor. I will pleased to see that you enjoyed your stay with us and found our rooms to be clean and...More  I plan to stay at this hotel again in the future when vacationing in this area.",16,"[('hotel', 15.0), ('orlando', 7.0), ('review', 7.0), ('stay', 7.0), ('pool', 6.0)]",4.06
320,Best Western Palo Duro Canyon Inn Suites,TX,79015,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.6808818181818181,I stayed with friends and we had a great nights rest which we all really needed. It was the most spacious and beautiful hotel room that I think I have ever had.,11,"[('hotel', 15.0), ('clean', 8.0), ('breakfast', 7.0), ('canyon', 5.0), ('duro', 5.0)]",3.91
321,Best Western Paradise Inn,MT,59725,"Banquet Halls and Reception Facilities,  Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.9192499999999999,"The Best Western was right across the street and the staff were very sympathetic to our plight going out of their way to be helpful and accommodating. Rooms are clean, heating system is quiet, beds and pillows comfortable, internet access, and a very breakfast in the morning.",2,"[('helpful', 2.0), ('staff', 2.0), ('stay', 2.0), ('western', 2.0), ('access', 1.0)]",5.0
322,Best Western Paradise Inn of Nephi,UT,84648,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.923925,"We found the hotel ideal for our purposes - rooms, clean and well equipped with very comfortable Queen beds. Proved to be a good choice as the Canyon was only 30 minutes drive away.",4,"[('staff', 4.0), ('beds', 3.0), ('breakfast', 2.0), ('canyon', 2.0), ('clean', 2.0)]",4.75
323,Best Western Park Crest Inn,CA,93940,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.923,"Always clean, staff is friendly and helpful, service and food are great! Never had anything not perfect here and will continue to stay here.",1,"[('clean', 1.0), ('continue', 1.0), ('food', 1.0), ('friendly', 1.0), ('helpful', 1.0)]",5.0
324,Best Western Pasadena Royale,CA,91107,"Hotel & Motel,  Hotel,  Hotel & Motel mgmt.",Accommodation & Food Services,0.9742,"Breakfast was delightful, fresh fruit, sausages, hash browns, eggs, cereal, waffles, pancakes. Room was relatively quiet considering the nearness to a busy street and freeway.",2,"[('breakfast', 2.0), ('fresh', 2.0), ('friendly', 2.0), ('lot', 2.0), ('lots', 2.0)]",4.5
325,Best Western Pinedale Inn,WY,82941,"Travel and Tourism,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.9149,After reading the reviews of this place I decided to take a chance. The only thing that was sort of a pain was the toilet.,1,"[('bed', 1.0), ('bunch', 1.0), ('chance', 1.0), ('clean', 1.0), ('coffee', 1.0)]",4.0
326,Best Western Pioneer Inn,HI,96761,"Hotel & Motel,  Lodging,  Hotel & Motel mgmt.,  Restaurants,  Travel and Tourism,  American restaurants,  Hotel",Accommodation & Food Services,0.8403294117647059,"The service is the best, there's a friendly parrot sitting in the corner to add to the ambiance (if you go talk to him he'll ask you if you're drunk) and the food was perfect! Mark is an amazing manager, the front desk helped me with professionalism and efficiency.",17,"[('hotel', 14.0), ('clean', 6.0), ('lahaina', 6.0), ('location', 5.0), ('stay', 5.0)]",4.35
327,Best Western Plus Abbey Inn,UT,84770,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.8422096153846154,"I've never written a hotel review before, but this place...MoreWe are so glad that we are the first hotel you have ever reviewed! Great stayMoreDear Lauralyn2017, Thank you for taking the time to share your experience with us we truly appreciate it.",52,"[('breakfast', 43.59286933698364), ('hotel', 39.0), ('stay', 38.0), ('staff', 32.0), ('clean', 21.582747902892507)]",4.63
328,Best Western Plus Arlington North Hotel Suites,TX,75050,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.917375,"The breakfast was excellent, hot food along with the usual choices to satisfy everyone. It was convenient to Texas Rangers ballpark, easy to get to, would stay there again.",4,"[('clean', 6.0), ('breakfast', 3.0), ('comfortable', 3.0), ('hotel', 3.0), ('bed', 2.0)]",4.5
329,Best Western Plus ArlingtonMarysville,WA,98223,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.8222363636363635,"Sincerely, Matthew Rosenthal General Manager  We stayed at the hotel while working a job for 90 days. We had a great experience, the staff was friendly and very workable on our 5am breakfast.",11,"[('hotel', 12.0), ('breakfast', 7.0), ('stay', 7.0), ('clean', 5.0), ('staff', 5.0)]",4.55
330,Best Western Plus Arroyo Roble Hotel & Creekside Villas,AZ,86336,"Business Hotel,  Hotel & Motel,  Lodging,  Resorts,  Motel,  Extended Stay,  Hotel & Motel reservations,  Hotel & Motel mgmt.,  Travel and Tourism,  Luxury Hotel,  Budget Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.8104285714285714,"Fireplaces, views, full kitchen, walk to the creek, walk to uptown, clean and beautiful spa area with great attention to details. I would give it an excellent rating only the villas are slightly dated and worn (but very clean.)",21,"[('hotel', 19.0), ('sedona', 13.0), ('staff', 8.0), ('view', 8.0), ('beautiful', 7.0)]",4.14
331,Best Western Plus Bandana Square,MN,55108,"Lodging,  Hotel",Accommodation & Food Services,0.7209571428571427,"My daughter did not notice until 2 days later she forgot her laptop at the hotel. Awesome customer service, you helped return my daughter's school laptop.",7,"[('stay', 6.0), ('hotel', 5.0), ('laptop', 3.638281457764965), ('mike', 3.0), ('service', 3.0)]",4.0
332,Best Western Plus Bayside Inn,CA,92101,"Business Hotel,  Corporate Housing,  Hotel & Motel,  Lodging,  Budget Hotel,  Family-friendly Hotel,  Tourist Hotel,  Hotel",Accommodation & Food Services,0.91611875,"We also caught the tram/train to the shopping outlets in San Ysidro- right on the Mexican border...we went into Mexico for the day, was fun but the queues to get out were very very long. We were always given great assistance at reception in terms of directions, recommendations etc They helped us get transport to and from the Viejas Casino Resort aswell(although",64,"[('hotel', 105.68622165221726), ('stay', 82.0), ('breakfast', 65.17300673168347), ('san', 60.0), ('diego', 56.79611793913848)]",4.19
333,Best Western Plus Burleson Inn Suites,TX,76028,"Lodging,  Hotel & Motel,  Hotel,  Hotel & Motel mgmt.",Accommodation & Food Services,0.15305000000000002,The rooms were fine and the staff was friendly but the high speed internet never worked. I would return if they fix the internet because that was my only real complaint.,2,"[('friendly', 2.0), ('internet', 2.0), ('staff', 2.0), ('amazing', 1.0), ('breakfast', 1.0)]",3.5
334,Best Western Plus Carousel Inn Suites,CO,80807,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.8963,the breakfast area was large and the food was good with a made to order omelet station. it appears this hotel is brand new and the condition reflects that.,2,"[('hotel', 4.0), ('breakfast', 2.0), ('clean', 2.0), ('nice', 2.0), ('appears', 1.0)]",4.5
335,Best Western Plus Carriage Inn,CA,91411,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.9017,I had to use the washer and dryers which charge about 6 dollars (all quarters) a load which is crazy and they supplied me with change which was cool. We love Robert and Apu at check-in.327sylvia-Thank you for taking the time to rate and review your recent stay with us.,2,"[('nice', 2.0), ('property', 2.0), ('stayed', 2.0), ('checkin', 1.6745556578973209), ('appreciated', 1.0)]",4.0
336,Best Western Plus Cascade Inn & Suites,OR,97060,"Business Hotel,  Corporate Housing,  Lodging,  Hotel & Motel,  Travel and Tourism,  Budget Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.7298333333333333,"they were nice enough to give us a breakfast on the go as we had to leave before breakfast was served at 6am to get to a half marathon race 45 miles away. Also did not eat breakfast, but did have several cups of excellent coffee - they had two different brews in addition to the decaf,...",9,"[('breakfast', 6.0), ('hotel', 6.0), ('stay', 6.0), ('close', 5.0), ('pool', 3.9775973971391725)]",4.11
337,Best Western Plus Chalmette Hotel,LA,70043,"Lodging,  Hotel & Motel,  Motel,  Hotel & Motel mgmt.,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.9349,"We loved this hotel, it was a little further away from the hustle and bustle of the quarter which was perfect for us. We was in town for the football game so it was right in our budget for a quick overnight stay.",1,"[('hotel', 2.0), ('beds', 1.0), ('budget', 1.0), ('bustle', 1.0), ('clean', 1.0)]",5.0
338,Best Western Plus Classic Inn Suites,TX,75935,"Lodging,  Hotel & Motel,  Hotel,  Hotel & Motel mgmt.",Accommodation & Food Services,0.8296,"I would recommend this location to anyone staying in Center for business or pleasure. I have stayed at this location many times, never have I been disappointed.",1,"[('center', 2.0), ('location', 2.0), ('activities', 1.0), ('business', 1.0), ('disappointed', 1.0)]",4.0
339,Best Western Plus Clearfield,PA,16830,"Hotel & Motel,  Hotel,  Hotel & Motel mgmt.",Accommodation & Food Services,0.9303666666666667,"The first thing I spotted entering the room was the throw pillow on the bed with what appears to be a large oil stain (hoping it is oil or grease) in the smack center of the pillow facing right at you. As I was getting ready for a biscuit, the lady refilling the biscuit tray rearranged the biscuits with her BARE hands and then with her BARE hands placed new biscuits into the tray.",3,"[('biscuit', 3.0), ('nice', 3.0), ('pillow', 3.0), ('appears', 2.0), ('awesome', 2.0)]",4.0
340,Best Western Plus Columbia North East,SC,29223,"Lodging,  Hotel",Accommodation & Food Services,0.8043454545454545,"We were in town for the Pearl Jam show and used trip advisor to find this hotel. Breakfast was solid, good location and easy getting in and out of downtown.",11,"[('hotel', 11.0), ('clean', 6.0), ('stay', 5.0), ('comfortable', 4.0), ('easy', 4.0)]",4.73
341,Best Western Plus Columbia North East,SC,29223,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.7608,"The breakfast was pretty good with both boiled eggs and egg patties, sliced ham, make your own waffles, a pancake maker, yogurt, fruit, pastries,... When a Hotel chain has a PLUS or PREMIER along with a Standard they need to really set 3 definite feels to the locations.",3,"[('hotel', 3.0), ('staff', 3.0), ('standard', 2.0), ('step', 2.0), ('trip', 2.0)]",4.67
342,Best Western Plus Columbia River Inn,OR,97014,"Business Hotel,  Lodging,  Hotel & Motel,  Budget Hotel,  Hotel,  Family-Friendly Hotel",Accommodation & Food Services,0.9583,"Our room was very nice, the bathroom was clean, and the bed was comfortable. My husband and I took our 9 year old grandson to the Columbia River Inn.",1,"[('pool', 2.0), ('bathroom', 1.0), ('bed', 1.0), ('bring', 1.0), ('clean', 1.0)]",4.0
343,Best Western Plus Concordville Hotel,PA,19342,"Hotel,  Hotel & Motel,  Hotel and Conference Room",Accommodation & Food Services,0.89652,We asked for early check in and as promised our room was cleaned and ready to check in when we arrived. The ground were beautiful nice entrance very lovely.,5,"[('breakfast', 6.0), ('hotel', 5.0), ('nice', 5.0), ('beautiful', 2.0), ('check', 2.0)]",4.6
344,Best Western Plus Crown Colony Inn Suites,TX,75901,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.6705,We were heading to Galveston for a cruise and stopped in Lufkin the night before on the way down. I have to say was a nicer room than I have received at much higher...,1,"[('chain', 1.0), ('cruise', 1.0), ('galveston', 1.0), ('handful', 1.0), ('heading', 1.0)]",5.0
345,Best Western Plus Cutting Horse Inn Suites,TX,76087,"Lodging,  Hotel",Accommodation & Food Services,0.6908,My husband and I have been finding different places to stay in Weatherford and this hotel is our favorite. The hotel has a large buffet in the morning and an indoor pool.,1,"[('hotel', 2.0), ('buffet', 1.0), ('clean', 1.0), ('favorite', 1.0), ('finding', 1.0)]",5.0
346,Best Western Plus Dallas Hotel & Conference Center,TX,75251,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.964890909090909,"Come back and visit us next time you are in the area!Warm Wishes,John Bright HarrisAssistant General ManagerBest Western Plus Dallas Hotel Conference Center  For the price and what you receive this is a great deal. but then I already told you I'm a traffic coward, didn't IThank you so much for your very kind comments!!!I am glad you have a wonderful experience both here at the Best Western Plus and in Dallas.",11,"[('hotel', 23.0), ('breakfast', 15.0), ('dallas', 14.610366998216268), ('stay', 14.0), ('glad', 13.0)]",4.27
347,Best Western Plus Denton Inn & Suites,TX,76201,"Lodging,  Hotel & Motel,  Hotel & Motel reservations,  Hotel & Motel mgmt.,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.24307499999999999," After the manger saw that i was on crutches he moved me to the first floor in the same type of room, which was great for them to do for me. Would be nice to have vending and an ice machine on the third floor but overall a nice place to stay.",4,"[('hotel', 3.0), ('king', 3.0), ('nice', 3.0), ('breakfast', 2.0), ('floor', 2.0)]",4.5
348,Best Western Plus Deridder Inn & Suites,LA,70634,"Business Hotel,  Corporate Housing,  Hotel & Motel,  Lodging,  Hotel & Motel mgmt.,  Budget Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.9577,"We stayed at Best Western in DeRidder, LA as a group with a baseball team for a tournament. It was a nice place to stay and convenient location to where we needed to go.",1,"[('nice', 2.0), ('baseball', 1.0), ('clean', 1.0), ('comfortable', 1.0), ('convenient', 1.0)]",4.0
349,Best Western Plus Downtown Tulsa/Route 66 Hotel,OK,74127,"Hotel Downtown Tulsa,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.94445,"Breakfast was very nice with a good selection of items and the staff was keeping everything nice and neat. Really nice rooms, very interesting decor, very clean room.",2,"[('hotel', 3.0), ('nice', 3.0), ('staying', 2.0), ('1st', 1.0), ('absolutely', 1.0)]",4.5
350,Best Western Plus Easton Inn Suites,MD,21601,"Corporate Housing,  Lodging,  Hotel & Motel,  Hotel & Motel mgmt.,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.971,"This information is late getting together, but wanted to be sure to get it posted. My family visited the St. Michaels and surrounding areas this past August.",1,"[('accommodations', 1.0), ('ample', 1.0), ('august', 1.0), ('clean', 1.0), ('daily', 1.0)]",5.0
351,Best Western Plus Eau Claire Conference Center,WI,54701,"Banquet Halls and Reception Facilities,  Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.5022625,"The staff at this Best Western was very friendly and welcoming, but I can't say that this was the quality property that I have seen at other Best Western Hotels that have been given the plus designation. All members of the staff were pleasant and happy, making for an enjoyable atmosphere.",8,"[('staff', 5.0), ('western', 4.0), ('breakfast', 3.0), ('clean', 3.0), ('door', 3.0)]",4.12
352,Best Western Plus Edgewater Hotel,AK,99664,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.85375,"The location of the hotel is downtown, right across the street from the Sea Life Center, very close to Hotel Seward, and there are several restaurants within walking distance including Zudy's which... More This hotel is conveniently located near downtown Seward, Alaska shops, the waterfront, Aquarium, eating establishments (and bars)!",2,"[('hotel', 4.0), ('seward', 3.0), ('downtown', 2.0), ('stay', 2.0), ('alaska', 1.0)]",3.5
353,Best Western Plus Encina Inn & Suites,CA,93105,"Lodging,  Hotel",Accommodation & Food Services,0.78226, We just want to thank you for the wonderful service we received at Best Western Plus Encino while visiting our mother at Cottage Hospital. Best Western provided a comfortable and clean atmosphere which helped during such a stressful time.,10,"[('hotel', 7.0), ('restaurant', 6.608921312183474), ('stay', 5.0), ('barbara', 4.0), ('santa', 4.0)]",4.7
354,Best Western Plus Executive Hotel Suites,LA,70665,"Executive Suites,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.8973,"We had a last ditch effort to call Best Western Plus again to see if there were any vacancies (softball tournament in town). The air conditioning worked beautifully - this was in June, so it really had a workout.",2,"[('clean', 2.0), ('staff', 2.0), ('time', 2.0), ('adequate', 1.0), ('air', 1.0)]",4.5
355,Best Western Plus Executive Inn,PA,15857,"Business Hotel,  Corporate Housing,  Lodging,  Hotel & Motel,  Budget Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.9744999999999999,"I also liked that there were windows that were able to be opened as opposed to total air condiitioning. The mattress was comfortable and had a good sleep, especially needed since was in training all day!  ",2,"[('clean', 2.0), ('comfortable', 2.0), ('training', 2.0), ('western', 2.0), ('air', 1.0)]",4.5
356,Best Western Plus Executive Suites,NM,87109,"Business Hotel,  Hotel & Motel,  Lodging,  Budget Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.9282,"How wonderful to arrive here after a LONG drive in UHAUL Truck be able to relax, sleep great then to have an excellent full hot breakfast before hitting... To be honest not all hotels are the best, but my experience staying here at Best Western was great.",8,"[('clean', 6.0), ('breakfast', 4.0), ('excellent', 4.0), ('nice', 4.0), ('staff', 4.0)]",4.38
357,Best Western Plus Executive Suites,NM,87109,"Business Hotel,  Lodging,  Hotel & Motel,  Budget Hotel,  Family-friendly Hotel,  Hotel",Accommodation & Food Services,0.896525,"The downside to our stay was the pool being too cold, also I left a phone / usb charger in the room. To be honest not all hotels are the best, but my experience staying here at Best Western was great.",4,"[('nice', 4.0), ('breakfast', 3.0), ('stay', 3.0), ('clean', 2.0), ('hotel', 2.0)]",4.25
358,Best Western Plus Forest Park Inn,CA,95020,"Corporate Housing,  Lodging,  Hotel & Motel,  Event Planning,  Hotel",Accommodation & Food Services,0.80355,"More I stayed here for one night only, for business, however I would have been comfy for a whole week here.  Ok so the only good thing about this place is they allow our furry friends.",2,"[('night', 3.0), ('balcony', 2.0), ('floor', 2.0), ('nice', 2.0), ('3rd', 1.0)]",3.0
359,Best Western Plus Fort Wayne Inn Suites North,IN,46818,"Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.9214333333333333,"How great is it, having 5 little girls to find a hotel that's affordable, clean, and FITS US ALL LEGALLY!!! Susan, at the front desk, went above and beyond to give us great accommodations on very short notice!",9,"[('hotel', 9.0), ('clean', 7.0), ('breakfast', 5.0), ('stay', 5.0), ('pool', 4.0)]",4.89
360,Best Western Plus Franklin Square Inn TroyAlbany,NY,12180,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.50125,"Got in a little on the later side, so ordered room service from the restaurant next door - good price on the food and it was decent. I'm a runner so ran from this... More  Convenient to downtown Troy and RPI.",2,"[('comfortable', 2.0), ('quiet', 2.0), ('stay', 2.0), ('troy', 2.0), ('bed', 1.0)]",4.0
361,Best Western Plus French Quarter Landmark Hotel,LA,70116,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.87452,"We are glad that you otherwise felt well taken care of and sincerely thank you for your patronage!Teresa Munoz - Revenue Manager  On a recent business trip to New Orleans, I was able to extend my stay for an evening and in doing so, I chose to stay closer to the French Quarter (the host hotel was near the Superdome, about 1 mile away). It certainly made for a very nice welcome at check-in (which was efficient and quick).After quickly settling in, I was off to explore the French Quarter and the hotel location on the edge of the historic district makes walking to everything quite easy, yet it's just far enough away from the nightlife to keep things quiet at night.",100,"[('hotel', 166.12080060755767), ('stay', 84.0), ('breakfast', 80.68542839038723), ('staff', 76.0), ('quarter', 64.0)]",4.27
362,Best Western Plus Fresno Inn,CA,93710,"Hotel & Motel,  Hotel",Accommodation & Food Services,0.979,Dear Happy Guest - Thank you for giving us a perfect rating and for recommending our hotel to other travelers. I'm sure our entire hotel staff enjoyed catering to your needs as much as you enjoyed your stay.,1,"[('hotel', 3.0), ('enjoyed', 2.0), ('staff', 2.0), ('care', 1.0), ('catering', 1.0)]",5.0
363,Best Western Plus Gadsden Hotel Suites,AL,35904,"Lodging,  Hotel",Accommodation & Food Services,0.7774,"Upon check-in, we were greeted by a very sweet staff member who without me asking, made a note to the rest of her fellow staff members, that we would be accompanied by a service animal. This is greatly appreciated so that there is no awkward...",1,"[('staff', 2.0), ('accompanied', 1.0), ('animal', 1.0), ('appreciated', 1.0), ('awkward', 1.0)]",4.0
364,Best Western Plus Glenview-Chicagoland Inn Suites,IL,60026,"Travel & Transport,  Corporate Housing,  Hotel & Motel,  Lodging,  Motel,  Hotel & Motel mgmt.,  Hotel",Accommodation & Food Services,0.6385666666666667,"We chose this Best Western because it offered up to 3 weeks free parking with Park-sleep-fly. If you are a light sleeper, you may want to request a room not backed up to the highway.",6,"[('hotel', 5.0), ('clean', 3.0), ('highway', 3.0), ('toll', 3.0), ('breakfast', 2.0)]",4.67
365,Best Western Plus Goodman Inn & Suites,MS,38637,"Corporate Housing,  Lodging,  Hotel & Motel,  Hotel & Motel mgmt.,  Hotel",Accommodation & Food Services,0.97515,Sadly not as clean as the sign in the bathroom suggested The room is quite dark and as the... I wish Best Western would improve their online registration process.,2,"[('clean', 4.0), ('hotel', 2.0), ('airplanes', 1.0), ('bathroom', 1.0), ('car', 1.0)]",4.0
366,Best Western Plus Grand Island Inn Suites,NE,68801,"Hotel & Motel,  Hotel & Motel reservations,  Lodging,  Motel,  Hotel & Motel mgmt.,  Hotel & Motel consultants,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.64745,"We came to experience the sandhill crane migration and the breakfast was ready even earlier than posted and we were able to eat before going out before sunrise. After horsing a 40+ foot combo through the construction site that is I-80, across Wyoming and Nebraska, The B/W + Grand Island was an oasis.",2,"[('i80', 2.0), ('40', 1.0), ('access', 1.0), ('breakfast', 1.0), ('combo', 1.0)]",5.0
367,Best Western Plus Grand Island Inn Suites,NE,68801,"Lodging,  Motel,  Hotel & Motel,  Travel and Tourism,  Hotel",Accommodation & Food Services,0.94845,"More The criteria for me to give 5 stars are: pleasant Front Desk, clean rooms, soft bed, quiet and good water pressure with an adequate free breakfast. I reported a minor problem with the TV in the fitness center and it was promptly repaired the next morning.",2,"[('breakfast', 2.0), ('center', 2.0), ('motel', 2.0), ('adequate', 1.0), ('bed', 1.0)]",5.0
368,Best Western Plus Hacienda Hotel Old Town,CA,92110,"Corporate Housing,  Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.8563234375,The table next to us had a coupon which they couldn't use for some reason so after they left the waitress applied the coupon to our bill without our knowledge and saved us over 20.00 We were blown away. Also the hotel is very close to the transit system and the State park (which is really cool).Thank you for brining attention to the warm responsive service you received while staying with us.,64,"[('hotel', 120.4859573107741), ('town', 77.5195729939397), ('location', 53.0), ('stay', 48.65397459603503), ('san', 45.0)]",4.06
369,Best Western Plus Hawthorne Terrace Hotel,IL,60657,"Travel & Transport,  Hotel Lake View East,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.806775,I really enjoyed the friendly staff and the room were very stylish and my wife feel in love with the bathroom we had the 2 bedroom suite and it was fantastic .  Our son works in the area and decided to stay near his work rather then where he lives.,4,"[('stay', 4.0), ('city', 2.0), ('couple', 2.0), ('days', 2.0), ('hotel', 2.0)]",4.75
370,Best Western Plus Heritage Inn Rancho Cucamonga/Ontario,CA,91730,"Corporate Housing,  Lodging,  Hotel & Motel,  Hotel & Motel mgmt.,  Hotel",Accommodation & Food Services,0.5145833333333333,"When staying in Ranch Cucamonga California we never consider any other hotel the Best Western Heritage is the only place to stay. Very close to the malls, restaurants, easy access to freeways it is a very well located Hotel.  ",6,"[('hotel', 7.576330401508704), ('comfortable', 4.0), ('stayed', 3.0), ('beautiful', 2.0), ('breakfast', 2.0)]",3.83
371,Best Western Plus Hotel & Suites Airport South,GA,30349,"Corporate Housing,  Lodging,  Hotel,  Hotel & Motel",Accommodation & Food Services,0.2624666666666667,"Front Desk Staff Members Denise Pat Angela Reggie Housekeeping Edith Cruz Doniesha Gladys(Asst Supervisor) All of which I'd personally reccomend, and would surely hire(all with management positions), at a... More The staff I encountered during my short stay, that I'd like to point out and highly reccommend....",3,"[('hotel', 5.0), ('late', 3.0), ('staff', 3.0), ('check', 2.0), ('desk', 2.0)]",4.0
