,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Review Summary,Total Reviews,Popular Keywords,Average Rating
227,Best Western Plus Hotel At The Convention Center,CA,90802,"Corporate Housing,Hotels and motels,Resorts,Budget Hotels,Hotel Downtown Long Beach,American restaurants,Lodging,Family-friendly Hotels,Restaurants,Hotels,Hotel and motel reservations,Night clubs and live music,Hotel and motel mgmt.,Hotels Motels,Hotel,Banquet facilities,Business Hotels",Accommodation & Food Services,0.9991,"I couldn't have asked for a better stay, and I will definitely stay at this wonderful hotel again! Breakfast was delicious, they have this tasty citrus-water that is to die-for on the daily!",8,"[('room', 1.1102500349192261), ('clean', 0.7207861783494564), ('rooms', 0.5409745027185764), ('water', 0.5318589525337948), ('hotel', 0.5273371277326409)]",4.25
228,Best Western Plus Independence Inn & Suites,IA,50644,"Hotel and motel mgmt.,Hotels and motels,Hotels,Lodging,Hotel,Hotels Motels",Accommodation & Food Services,0.4174,"Lady at desk told me areas to go in case of tornado. Also reviewed sirens, as well as local restaurants.",1,"[('areas', 0.2), ('case', 0.2), ('decided', 0.2), ('desk', 0.2), ('forecast', 0.2)]",5.0
229,Best Western Plus Inn At The Vines,CA,94559-4010,"Hotels,Hotel",Accommodation & Food Services,1.0,"The hotel is dated, but I very much enjoyed the breakfast at Denny's (ask for Ceci) as Best Western will give rewards members a free breakfast or 6.00 off another breakfast entree at Denneys. We actually have all the prices of the hotels on the days you stayed and only one hotel was less than our price and its located 9 miles south of Napa, further away from the vineyards.",74,"[('stay', 4.704977447342673), ('napa', 4.671136111519182), ('hotel', 4.6674018751661945), ('room', 3.953805108295964), ('great', 3.472884806411679)]",4.15
230,Best Western Plus Inn at Valley View,VA,24012,"Hotels,Lodging,Hotels Motels,Hotel,Travel and Tourism,Motels",Accommodation & Food Services,0.997,"Indoor pool, updated rooms Enjoyed my stay and will use again and recommend as a great choice of property. The staff is very nice and helpful, the rooms are always very clean and comfortable.",5,"[('great', 0.7228531335814992), ('stay', 0.7228531335814992), ('breakfast', 0.6176636481360682), ('clean', 0.6070582728026394), ('pool', 0.5636432608131992)]",4.6
231,Best Western Plus Kelly Inn Suites,MT,59101,"Hotels,Lodging,Hotels Motels,Family-friendly Hotels,Budget Hotels,Business Hotels,Corporate Housing,Hotels & Motels,Hotel",Accommodation & Food Services,0.9983,"This is a wonderful feature, especially when traveling on your on and you want to have some conversation.   Most Best Westerns have a reception offering a glass of wine or beer and some food.",6,"[('pool', 0.6487163305909427), ('water', 0.5599529696224332), ('breakfast', 0.4715873094315072), ('large', 0.47004995447653847), ('clean', 0.4447485134026049)]",4.33
232,Best Western Plus Lacey Inn & Suites,WA,98516,"Hotel,Hotel and motel mgmt.,Hotels and motels,Hotels Motels,Lodging,Hotels,Travel and Tourism,Motels",Accommodation & Food Services,0.999,"We choose to have weekend fun nights here - it's close to outdoor activities that we enjoy and the town of Lacy is super cute. This is a friendly, courteous, clean, comfortable hotel with a terrific breakfast.",8,"[('breakfast', 0.8469127406141571), ('best', 0.6674496971382913), ('great', 0.5722351719259762), ('hotel', 0.571118539096294), ('choose', 0.5657684801028933)]",4.88
233,Best Western Plus Lake County Inn & Suites,FL,32778,"Hotel and motel mgmt.,Hotels and motels,Hotel,Hotels Motels,Hotels,Lodging",Accommodation & Food Services,0.9832,The staff were very sincere and accommodated us to the best of their ability. My stay at this hotel was the most enjoyable stay I have had this year.,4,"[('stay', 0.6174777235988984), ('staff', 0.6004906376063444), ('hotel', 0.575220902817952), ('great', 0.5631828553603287), ('rate', 0.41165181573259896)]",4.5
234,Best Western Plus Lake Elsinore Inn & Suites,CA,92530,"Hotel,Lodging,Corporate Housing,Hotels Motels,Hotels",Accommodation & Food Services,0.9903,"Good view of the lake, we were even treated to a firework show on the night of stay. Unfortunately, I did not get to use the pool but it was clean as well.  ",2,"[('clean', 0.45381386272555474), ('hotel', 0.43591763951467183), ('breakfast', 0.2987343673329435), ('freeway', 0.2987343673329435), ('friendly', 0.2987343673329435)]",4.5
235,Best Western Plus Lake Front Hotel,WA,98837,"Hotel,Hotels,Hotels Motels",Accommodation & Food Services,0.9995,"Their breakfast selection was by far the best selection for breakfast at any hotel I have stayed at and I have stayed at many hotels for... More They have went out of their way to ensure the smallest details are taken care of, just to make my stay more comfortable.",12,"[('hotel', 1.2267040491576537), ('breakfast', 1.0727606252608708), ('lake', 1.0178375421228014), ('room', 0.9850451941630307), ('view', 0.8812597882796105)]",4.42
236,Best Western Plus Lockport Hotel,NY,14094,"Corporate Housing,Hotels,Hotels and motels,Hotel and motel reservations,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,0.9896,"We had to be up in the area Buffalo/Niagara Falls for a new business venture and we didn't want to spend a fortune so we chose this property.  The hotel is very clean, comfortable, in a great location and the staff was both nice and helpful to guests!",5,"[('hotel', 0.8317315320432808), ('comfortable', 0.6095693672313942), ('breakfast', 0.5632135619793972), ('thing', 0.4787121926294512), ('convenient', 0.4741246485558491)]",4.2
237,Best Western Plus Mid Nebraska Inn & Suites,NE,68847,"Hotel,Hotels Motels,Lodging,Motels",Accommodation & Food Services,0.9927,"We usually always stop here on our way to Colorado and the location right off the interstate makes it easy to get to the hotel and easy to get started the next morning. We get a clean, comfortable, quiet room (I sound like Tom Baudette) and a buffet breakfast in most of the chain.",3,"[('easy', 0.45020389461231175), ('friendly', 0.31945577345796616), ('staff', 0.31945577345796616), ('stop', 0.31945577345796616), ('like', 0.2880983908113548)]",5.0
238,Best Western Plus Midwest Inn Suites,KS,67401,"Hotels,Lodging,Hotels Motels,Corporate Housing,Hotel,Travel and Tourism",Accommodation & Food Services,0.9969,Any time we needed to ask a staff member a question the staff member smiled and was generous in giving information of where things were in the City of Salina and Abilene. I have stayed at this particular location multiple times over the last several years and have always been happy with the courteous and professional staff.,6,"[('staff', 0.8647424300462052), ('breakfast', 0.6227537702259016), ('hotel', 0.5664896547390015), ('room', 0.5243155704624903), ('good', 0.48568962028843066)]",4.33
239,Best Western Plus Murray Hill Hotel & Suites,NJ,7974,"Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Motels,Hotel",Accommodation & Food Services,0.9589,"Very well priced hotel convenient to major highways while being in a very pleasant suburb in the Summit/Chatham/Morristown area. If, however, you want all the benefits of a good hotel in this area at a reasonable cost -...",1,"[('area', 0.3481553119113957), ('hotel', 0.3481553119113957), ('benefits', 0.17407765595569785), ('chatham', 0.17407765595569785), ('clean', 0.17407765595569785)]",5.0
240,Best Western Plus Newark/christiana Inn,DE,19701,"Hotels,Hotels and motels,Travel and Tourism,Hotel and motel mgmt.,Lodging,Hotel",Accommodation & Food Services,0.9957,"Very pleased with the property, about 5 miles off I 95, but there are two good places to eat within walking distance. The rooms are spacious and always clean..I always feel welcome there..",9,"[('expected', 1.0), ('property', 0.7825088087689971), ('staff', 0.7173920540037153), ('breakfast', 0.636417946611272), ('hotel', 0.603521082668739)]",3.78
241,Best Western Plus Peoria,IL,61611,"Hotels,Lodging,Hotel",Accommodation & Food Services,0.9349,"Place was awesome, clean rooms, pool, breakfast was good, coffee ready all the time, helpful staff, bed was great, had no problems with anything during my stay, i would stay at this hotel again was for work",1,"[('stay', 0.4364357804719848), ('awesome', 0.2182178902359924), ('bed', 0.2182178902359924), ('breakfast', 0.2182178902359924), ('clean', 0.2182178902359924)]",5.0
242,Best Western Plus Rama Inn,OR,97756,"Hotels,Lodging,Hotel and motel mgmt.,Hotels and motels,Hotel and motel reservations,Family-Friendly Hotels,Budget Hotels,Hotels & Motels,Business Hotels",Accommodation & Food Services,0.9971,"Location of hotel is next to highway and a fast food restaurant, so noise with window open was considerable. More  I cannot say enough good things about the comfort level and cleanliness of this hotel.",6,"[('hotel', 0.6775521151629771), ('room', 0.564121396069269), ('good', 0.4484778450773017), ('road', 0.43019219789573543), ('stay', 0.4124726839831598)]",3.5
243,Best Western Plus Raton Hotel,NM,87740,"Hotels,Lodging,Hotels Motels,Hotel,Hotels & Motels",Accommodation & Food Services,0.9998,"Clean comfortable rooms, helpful and friendly staff, nice breakfast included with each night's stay. We ate at the restaurant which has a nice selection of entrees and the food and service were good.",12,"[('best', 0.963163181048181), ('hotel', 0.9109321380129265), ('helpful', 0.8082854026552779), ('nice', 0.7879968803537172), ('friendly', 0.7852225797978669)]",4.92
244,Best Western Plus Richmond Inn & Suites-Baton Rouge,LA,70808,"Hotel,Event Planning,Corporate Housing,Hotels",Accommodation & Food Services,0.9995,"Biscuits, white gravy, oatmeal(with all kinds of toppings to put in it!), bacon, grits, eggs, hash browns, cereal, toast, bagels(all types of cream cheese and butter and jellies), coffee, hot chocolate, apple juice, cranberry juice, orange juice and milk...there was sooooo much! This hotel is the best we have stayed at in Baton Rouge -- Large rooms, very nice kitchen with granite and stainless appliances, clean bathroom with plenty of towels and toiletries, very comfortable bed with high quality bedding.",10,"[('room', 1.1031393355910422), ('hotel', 0.867272901161898), ('breakfast', 0.6205963161849279), ('needed', 0.6060433187339399), ('working', 0.6060433187339399)]",4.0
245,Best Western Plus Ruidoso Inn,NM,88345,"Hotels,Lodging,Hotel,Hotels Motels",Accommodation & Food Services,0.9826,"Good place overall except the carpet in the room was coming loose and bubbling up, great location nice indoor pool, big room, the wifi was extremely slow, the hiking trail was nice the playground needed a lot of work, beds were very comfortable  Staff was very friendly. We appreciate your feedback and are glad you enjoyed your stay!",2,"[('nice', 0.35921060405354976), ('room', 0.35921060405354976), ('answered', 0.18569533817705183), ('appreciate', 0.18569533817705183), ('bailey', 0.18569533817705183)]",4.5
246,Best Western Plus Sikeston,MO,63801,"Lodging,Hotels,Hotels Motels,Hotel",Accommodation & Food Services,0.9967,"Breakfast was one of the best I have seen at a motel Very clean place all around, from room to breakfast area. Upon arrival at this Best Western property, all staff members did 100 effort to make our stay comfortable.",4,"[('breakfast', 0.6641452689381111), ('clean', 0.5917792532202142), ('great', 0.5238567337810469), ('nice', 0.5098734866240675), ('best', 0.4895965936836697)]",4.75
247,Best Western Plus Skagit Valley Inn and Convention Center,WA,98273,"Hotels,Lodging,Banquet Halls and Reception Facilities,Hotels Motels,Hotel",Accommodation & Food Services,0.9935,The computers in the lobby made it easy for us to print out airline boarding passes.   The hotel is centrally located and close to many restaurants and downtown area.,4,"[('hotel', 0.5831875302876987), ('best', 0.5714992860671535), ('good', 0.4738294230993072), ('breakfast', 0.46317153655913723), ('nice', 0.44927572509039293)]",4.5
248,Best Western Plus Springfield Airport Inn,MO,65802,"Hotels,Lodging,Hotel,Event Planning",Accommodation & Food Services,0.9604," we were very pleased to be able to use computer to check in with our airline to save time at the airport.   Clean rooms, very efficient staff, easy location to find.",3,"[('clean', 0.5300890449156217), ('location', 0.5300890449156217), ('rooms', 0.5300890449156217), ('easy', 0.45954803293870056), ('efficient', 0.45954803293870056)]",4.33
249,Best Western Plus Stevens County Inn,KS,67951,"Hotels,Lodging,Hotel",Accommodation & Food Services,0.9404,GM was training and teaching staff when I arrived. Check in by Samantha was quick and painless.,1,"[('staff', 0.4472135954999579), ('arrived', 0.22360679774997896), ('check', 0.22360679774997896), ('cheers', 0.22360679774997896), ('comfortable', 0.22360679774997896)]",5.0
250,Best Western Plus Stevenson Manor,CA,94515,"Hotels,Hotels and motels,Hotel and motel mgmt.,American restaurants,Lodging,Hotels Motels,Hotel,Restaurants",Accommodation & Food Services,0.9891,"Sadly for us, the pool was closed for renovations and it would have been nice to cool off after a hot sunny day in California touring the wineyards. More  I am a tried and true Marriott person, but my husband booked this hotel as a surprise for our anniversary.",3,"[('good', 0.502953506092804), ('hotel', 0.44106958979213384), ('nice', 0.44106958979213384), ('big', 0.37691060399916143), ('great', 0.3540812685424878)]",4.33
251,Best Western Plus Swiss Chalet Hotel Suites,TX,79772,"Hotels,Lodging,Hotel,Hotels Motels",Accommodation & Food Services,0.9871,"We are glad you enjoyed your accommodations, our friendly staff, fresh hot breakfast and all our amenities. Dear Guest, Thank you for taking the time to review our property during your recent stay.",1,"[('breakfast', 0.282842712474619), ('equipped', 0.282842712474619), ('friendly', 0.282842712474619), ('hot', 0.282842712474619), ('accommodations', 0.1414213562373095)]",5.0
252,Best Western Plus The Inn at King of Prussia,PA,19406,"Hotel,Hotels Motels,Lodging,Corporate Housing,Hotels,Accommodations & Lodging,Motels",Accommodation & Food Services,0.9953,"This was the first time we had ever stayed in this hotel and thanks to this wonderful manager and of course, the fine facilities and services , this will definitely not be our last. Our desk clerk Bill and the breakfast hostess Nina were amazing, they went out of their way to make us feel at home and welcomed.",8,"[('hotel', 0.8131941520369932), ('good', 0.7684789625853894), ('desk', 0.6630554717307082), ('helpful', 0.6160878200860418), ('week', 0.5823015288673857)]",4.62
253,Best Western Plus Tupelo Inn & Suites,MS,38804,"Hotel,Hotels,Lodging,Banquet Halls and Reception Facilities,Hotels Motels",Accommodation & Food Services,0.997,"It was an overall great place to stay we'd definitely stay there again and recommend it to anyone looking for a nice, clean place to stay that doesn't cost too much. They seem to be even better quality then some holiday Inn expresses.",5,"[('nice', 0.8013460313207168), ('stay', 0.72459639911527), ('clean', 0.6247018654516536), ('breakfast', 0.45755835621942154), ('comfortable', 0.44673294831201943)]",4.6
254,Best Western Plus Vermilion River Suites Hotel,LA,70508,"Hotels,Lodging,Corporate Housing,Hotels Motels,Hotel",Accommodation & Food Services,0.9833,"The staff were delightful and helpful, everywhere clean and appeared newly decorated. The nicest Best Western we have every stayed in.",1,"[('access', 0.2182178902359924), ('appeared', 0.2182178902359924), ('best', 0.2182178902359924), ('clean', 0.2182178902359924), ('decorated', 0.2182178902359924)]",5.0
255,Best Western Plus Virginia Beach,VA,23451,"Hotels,Hotel",Accommodation & Food Services,1.0,"The pillows on the bed were strange, instead of your normal sized pillows they were all about the size of a couch throw pillow (about 4-5 on a bed) they were very thick roundish. The door to the balcony was hard to lock unlock for the same reason, the AC was very loud, but it did keep us nice cool.",59,"[('great', 4.636735553925265), ('room', 3.854443595462434), ('nice', 3.5549592839120283), ('hotel', 3.3121596046930457), ('stay', 3.2520559480941866)]",3.71
256,Best Western Plus Williston Hotel & Suites,ND,58801,"Hotel,Hotels Motels",Accommodation & Food Services,0.9818,The breakfast was outstanding the hotel was clean the front desk staff was so awesome. Thank you for the fantastic review and we hope have you back again soon.,1,"[('staff', 0.48666426339228763), ('thank', 0.3244428422615251), ('awesome', 0.16222142113076254), ('breakfast', 0.16222142113076254), ('check', 0.16222142113076254)]",5.0
257,Best Western Plus Wilmington/Carolina Beach,NC,28412,"Corporate Housing,Hotels,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,0.9074,I loved the hot tub and the fitness area. The rewards program is a great perk!,5,"[('great', 1.3149125400646295), ('desk', 0.4788135849325639), ('room', 0.4039078600750806), ('kids', 0.39032597639666433), ('loved', 0.39032597639666433)]",4.0
258,Best Western Plus Yacht Harbor Inn,FL,34698,"Hotels and motels,Hotel and motel mgmt.,Hotels Motels,Hotel",Accommodation & Food Services,0.996,"Well this was a surprise find, wonderful location, Marina view to our front and Harbour view to our back, the restaurant and bar were first class, good service and helpful staff. You can walk directly into the downtown area within minutes and enjoy a local ice-cream shop, arts and boutiques not to mention great restaurants close by.",6,"[('great', 0.63671356308257), ('hotel', 0.6318609319323076), ('view', 0.5711531777917171), ('restaurant', 0.4938382725531072), ('stay', 0.46858159955699863)]",3.83
259,Best Western Plus-portage Hotel & Suites,IN,46368,"Hotel and motel mgmt.,Hotels and motels,Lodging,Hotels Motels,Hotels,Corporate Housing,Hotel",Accommodation & Food Services,0.9738,Thank you for choosing the Best Western Plus in Portage 773tabathae and the great comment. If there is ever any issues they will do their best to correct it as soon as possible.,1,"[('best', 0.3287979746107146), ('great', 0.3287979746107146), ('home', 0.3287979746107146), ('soon', 0.3287979746107146), ('773tabathae', 0.1643989873053573)]",4.0
260,Best Western Plus-prairie Inn,OR,97322,"Hotel and motel mgmt.,Hotels and motels,Travel agencies and bureaus,Hotels,Lodging,Hotels Motels,Family-friendly Hotels,Travel Agencies,Budget Hotels,Business Hotels,Hotels & Motels,Hotel",Accommodation & Food Services,0.9983,"The hotel in general room was very clean well equipped with towels I liked how the bathroom was equipted with soap, shampoo, hair... Was impressed with the BW staff upon check in check-out with their friendliness, professionalism, efficiency.",7,"[('room', 0.6089503931636675), ('breakfast', 0.5890404162495015), ('stay', 0.5798758522369762), ('friendly', 0.530925303941931), ('helpful', 0.530925303941931)]",4.43
261,Best Western Post Oak Inn,TX,78611,"Lodging,Hotels,Hotels Motels,Hotel",Accommodation & Food Services,0.9992,"We enjoyed the ample breakfast .The room was clean, and the bed was very comfortable. It was great for a one night stay, would stay again for similar circumstance.  ",7,"[('hotel', 1.0538888900210714), ('room', 0.8916367363488039), ('stay', 0.665097241385701), ('clean', 0.6601905755004189), ('burnet', 0.5082581904036776)]",4.29
262,Best Western Premier Crown Chase Inn & Suites,TX,76208,"Hotel,Hotels Motels,Lodging",Accommodation & Food Services,0.993,"The free morning breakfast was AWESOME - complete with made to order omlettes, pancakes / waffles, fresh fruit more. The staff was very professional right from the start and continued through check out.",5,"[('hotel', 0.7024215691755644), ('casey', 0.4540618414139148), ('best', 0.4261160321334692), ('breakfast', 0.4251225221189486), ('rooms', 0.4251225221189486)]",5.0
263,Best Western Premier Energy Corridor,TX,77449,"Hotel,Hotels and motels,Lodging,Hotels",Accommodation & Food Services,0.9982,Typically I do not care for hotel coffee - it was probably the best hotel coffee I've had this side of Europe. Our staff are constantly undergoing training to provide 'Premier' guest service.,4,"[('great', 0.7960675520064998), ('breakfast', 0.5470131898473237), ('clean', 0.4785525432088861), ('hotel', 0.4785525432088861), ('family', 0.44187301716537936)]",5.0
264,Best Western Premier The Central Hotel & Conference Center,PA,17111,"Hotel,Hotels,Lodging,Hotels Motels",Accommodation & Food Services,0.9998,This is my second stay at this hotel and it is even better than the first time. My husband and I attended the Great American Outdoor Show in Harrisburg.,17,"[('hotel', 1.7479215426017538), ('room', 1.2420725460364719), ('staff', 1.23562352253682), ('nice', 1.1544527344885653), ('rooms', 0.9552783512942288)]",4.53
265,Best Western Radford Inn,VA,24141,"Hotel and motel mgmt.,Hotels and motels,Lodging,Hotels,Hotels Motels,Hotel",Accommodation & Food Services,0.8612,We have stayed at this motel several times traveling down to Florida and returning north. Multiple update work going on so look forward to an even better experience next visit.,4,"[('rooms', 0.3651483716701106), ('look', 0.3615373503338179), ('day', 0.35551582875077026), ('radford', 0.35551582875077026), ('ago', 0.24350601050597712)]",2.5
266,Best Western Ramkota Hotel,SD,57201,"Hotel,Hotels",Accommodation & Food Services,0.775,"Although the pool hours didn't accommodate our after 10 P.M. arrival, the bartender still served us the length of time we needed to relax after our long journey. Rooms were great, although we wished for an exhaust fan in the bath.",5,"[('room', 0.6532841952428898), ('staff', 0.5551773957611646), ('pleasant', 0.5437224102744148), ('enjoyed', 0.5380385396207297), ('stay', 0.5380385396207297)]",3.8
267,Best Western Regency Inn,IL,61834,"Hotels,Lodging,Hotel and motel mgmt.,Hotels and motels,Travel & Transport,Hotels & Motels,Hotel,Hotels Motels",Accommodation & Food Services,-0.0129,"In addition, I had to stand by the lobby front door or go outside to keep my cell phone calls from breaking up or dropping as did others in our party. The rooms at this motel are fine and the breakfast was sufficient but the wifi availability is terrible.",1,"[('door', 0.3779644730092272), ('addition', 0.1889822365046136), ('automatically', 0.1889822365046136), ('availability', 0.1889822365046136), ('bathroom', 0.1889822365046136)]",3.0
268,Best Western Riverside Inn,IL,61832,"Hotels,Lodging,Hotel and motel mgmt.,Hotels and motels,Travel & Transport,Hotels & Motels,Hotels Motels,Event Planning,Hotel",Accommodation & Food Services,0.734,A storm was coming and she even printed out a radar map to show us when the storm would hit. Desk clerk was very helpful when I called at the last minute to get room.,1,"[('helpful', 0.4588314677411235), ('storm', 0.4588314677411235), ('called', 0.22941573387056174), ('check', 0.22941573387056174), ('clerk', 0.22941573387056174)]",4.0
269,Best Western Riverview Inn & Suites,NJ,7065,"Hotels,Hotels and motels,Hotel Motel & Resort Reservations,Hotel and motel mgmt.,American restaurants,Lodging,Hotels Motels,Motels,Restaurants",Accommodation & Food Services,0.908,"the service at the front desk was considerably lowers the value of this hotel if you don't value common courtesy, then this hotel is for you the breakfast staff were very friendly, helpful and made sure the buffet was well stocked for the hotel guests",1,"[('hotel', 0.5773502691896257), ('value', 0.3849001794597505), ('breakfast', 0.19245008972987526), ('buffet', 0.19245008972987526), ('common', 0.19245008972987526)]",3.0
270,Best Western Route 66 Rail Haven,MO,65802,"Hotel,Hotels,Lodging",Accommodation & Food Services,0.9993,"Loved the breakfast: all the breakfast items you expect, plus fruit, yogurt, and vegetarian and gluten-free selections, too. If you stay in Springfield then this is the place for you, your family, associates and friends!",6,"[('stay', 0.6442778629548026), ('great', 0.5832928993103521), ('breakfast', 0.5721618511632631), ('staff', 0.5586252321839436), ('friendly', 0.540586642194073)]",4.83
271,Best Western Sawmill Inn,AZ,85928,"Hotel,Hotels Motels",Accommodation & Food Services,0.8519,"The rooms are clean and the breakfast was good. If you are in the area, you should stay here.",1,"[('stay', 0.5163977794943222), ('3rd', 0.2581988897471611), ('area', 0.2581988897471611), ('breakfast', 0.2581988897471611), ('clean', 0.2581988897471611)]",5.0
272,Best Western Seven Seas,CA,92108-3402,"Hotels,Restaurant,Hotels Motels,Accommodations & Lodging,Motels,Hotel",Accommodation & Food Services,0.9996,"Only issue seemed to be a funny smell that came and went the AC, took long for room to cool the lower the temp, unit would make a loud noise. Pretty tropical landscaping, really nice pool fitness area.",19,"[('room', 1.2658506051514755), ('hotel', 1.258286127536227), ('nice', 1.1019531162965794), ('dirty', 1.0), ('stay', 0.9058990858471889)]",3.53
273,Best Western Silver Fox Inn,NH,3215,"Hotel,Lodging,Hotels,Hotels Motels,Motels",Accommodation & Food Services,0.9938,"Visited very much in the off season, between leaf glory and snow, and the place was mostly empty except for a group of quilters who meet up here on a regular basis. Decent room, bed, shower, etc., good wifi, comprehensive breakfast for free, which makes it quite a good value.",3,"[('great', 0.40560694385025436), ('stay', 0.40560694385025436), ('lobby', 0.38084255208917217), ('good', 0.37309797844273745), ('like', 0.37309797844273745)]",4.67
274,Best Western Skyline Motor Lodge,OR,97630,"Lodging,Hotels,Corporate Housing,Hotels Motels,Hotels & Motels,Hotel",Accommodation & Food Services,0.9386,"i would recommend the BW Skyline Motel to anyone  For a very small town out in the middle of nowhere, you will not find anything better. The breakfast was the weakest link, but that has become standard for pretty much every place that offers the routine continental fare.",2,"[('clean', 0.31992875124964326), ('comfortable', 0.31992875124964326), ('place', 0.31992875124964326), ('alway', 0.23891788782535112), ('bw', 0.23891788782535112)]",4.5
275,Best Western Springfield,VA,22150,"Hotels,Hotel",Accommodation & Food Services,1.0,"Great breakfast, only issue is that space is limited so you may have to wait to sit if you want to eat there. It was really nice to come back after being away from the hotel and find something special left in the room.",160,"[('hotel', 9.531231775278995), ('good', 7.847413631484814), ('room', 7.6869386308735494), ('breakfast', 7.603199003031111), ('staff', 7.1583217885533506)]",3.71
276,Best Western Springfield West Inn,MA,1089,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,0.9935,"Room cleanliness could be better, linens stained, breakfast worse than most, on the very end of strip bordering sketchy neighbors. We stayed at this Best Western in mid-March and were pleasantly surprised at how nice it was for not being a high-end hotel.",3,"[('staff', 0.4194504085759984), ('breakfast', 0.3454096062310106), ('area', 0.3401454503582577), ('end', 0.3401454503582577), ('clean', 0.3137386913736771)]",4.33
277,Best Western Suites Near Opryland,TN,37214,"Hotels,Hotel & Motel Reservations,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Accommodations & Lodging,Motels,Hotel",Accommodation & Food Services,0.999,This was a very clean nice place to stay and it is very close to the grand ole opry as well as downtown Nashville. I would recomend staying here if you do not mind a short drive to downtown and an easy cab ride to Opryland.,11,"[('nice', 0.9359904202388625), ('hotel', 0.9263734072965948), ('opryland', 0.8853455758706894), ('stay', 0.7966890249285171), ('clean', 0.7744316715703115)]",4.0
278,Best Western Sunland Park Inn,TX,79922,"Hotels,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,0.9495,Could not hear any road noise - Great! Great hotel for an en-route stop.,1,"[('great', 0.5669467095138409), ('breakfast', 0.1889822365046136), ('courteous', 0.1889822365046136), ('en', 0.1889822365046136), ('far', 0.1889822365046136)]",4.0
279,Best Western Superstition Springs Inn,AZ,85206,"Hotels,Lodging,Hotels Motels,Hotel Superstition Springs,Hotel",Accommodation & Food Services,0.9833,"Easy to get to from Phoenix ingress on Highway 60 from East. Impeccably clean room, clean lobby, clean grounds.",1,"[('clean', 0.4629100498862757), ('chi', 0.3086066999241838), ('phoenix', 0.3086066999241838), ('super', 0.3086066999241838), ('60', 0.1543033499620919)]",5.0
280,Best Western Territorial Inn Suites,NM,87413,"Lodging,Hotels,Hotel",Accommodation & Food Services,0.9966," Great place to stay.....for such a great rate I did not think that the hotel would be very nice... It was clean, quiet and the beds were the most comfortable I have experienced at a hotel.  ",5,"[('great', 0.7573808132791819), ('nice', 0.5618133624319985), ('hotel', 0.4693222610334646), ('breakfast', 0.4593762881376449), ('best', 0.44836932891412307)]",4.6
281,Best Western The Inn At Rochester Airport,NY,14624,"Hotel,Hotels Motels,Lodging,Corporate Housing",Accommodation & Food Services,0.9839,"It pleased with our stay at all  The two days I spent at your Best Western Inn near the Rochester airport, was great before and after my sons graduation ceremony from RIT college. It was supposed to be a non smoking hotel but someone on my floor kept smoking which was a turn off.",6,"[('hotel', 0.8741571334892655), ('room', 0.5767296906182314), ('early', 0.5063462970130433), ('morning', 0.5063462970130433), ('spent', 0.5063462970130433)]",3.0
282,Best Western Tolleson Hotel,AZ,85353,"Hotels,Lodging,Hotel,Hotels Motels",Accommodation & Food Services,0.5799,I need quality rest during the day because I work at night and being tired is not an option in my line of work. The hotel staff make sure there are no issues with noise and the rooms are very clean and comfortable,1,"[('work', 0.4364357804719848), ('clean', 0.2182178902359924), ('comfortable', 0.2182178902359924), ('day', 0.2182178902359924), ('hotel', 0.2182178902359924)]",5.0
283,Best Western Tomah Hotel,WI,54660,"Hotels,Extended Stay,Resorts,Cottages,Lodging,Hotels Motels,Hotel",Accommodation & Food Services,0.9984,The one thing that threw us off was that we were expecting the usual breakfast buffet but instead received vouchers for a specific breakfast or 5 off any menu item at Perkins next door. The only negative was we could hear other guest talking when we were in the bathroom and other noises from our room.,7,"[('clean', 0.78607607658573), ('door', 0.7370165358970012), ('room', 0.7241219028976126), ('helpful', 0.7122966670174943), ('noisy', 0.7122966670174943)]",4.43
284,Best Western Tree City Inn,TN,37110,"Lodging,Hotels,Hotels Motels,Hotel",Accommodation & Food Services,0.912,I have stayed at several places for both business and pleasure over the last 12 months and this was one of the very top stays. I was staying for my Granddaughter's wedding but will be back very soon.,1,"[('12', 0.24253562503633297), ('business', 0.24253562503633297), ('granddaughter', 0.24253562503633297), ('great', 0.24253562503633297), ('months', 0.24253562503633297)]",5.0
285,Best Western Twin Islands,TN,37738,"Hotel,Hotels",Accommodation & Food Services,1.0,"The hotel staff was super friendly, the room was clean, beds were super comfortable and the breakfast was great. The room we had was very clean and the hotel is perfect walking distance to everything in Gatlinburg..",36,"[('room', 2.73358174028332), ('hotel', 2.3575290177521264), ('great', 2.3118412877125443), ('location', 2.2359850825112217), ('river', 1.8443960087439444)]",4.08
